"gen1_ID","MID","collect_date","hatch_date","wing_date","death_date","pop","sex","S.wing","viable","notes","X","one"
"1039","16","8.19.21","8.20.21","9.27.21","","KL","M","N","Y","",NA,1
"1042","16","8.19.21","8.27.21","9.21.21","","KL","M","N","Y","",NA,1
"1046","16","8.19.21","8.29.21","9.27.21","","KL","F","N","Y","",NA,1
"1047","16","8.19.21","8.20.21","9.25.21","","KL","M","N","Y","",NA,1
"1049","16","8.19.21","8.27.21","9.25.21","","KL","F","N","Y","",NA,1
"1053","16","8.19.21","8.29.21","9.26.21","","KL","M","N","Y","",NA,1
"1055","16","8.19.21","8.29.21","9.29.21","","KL","F","N","Y","",NA,1
"1060","16","8.19.21","8.27.21","9.29.21","","KL","M","N","Y","",NA,1
"1064","16","8.19.21","8.27.21","9.23.21","","KL","F","N","Y","",NA,1
"1065","16","8.19.21","8.25.21","9.22.21","","KL","M","N","Y","",NA,1
"1255","16","8.27.21","9.1.21","9.25.21","","KL","F","N","Y","",NA,1
"1256","16","8.27.21","8.29.21","9.25.21","","KL","M","N","Y","",NA,1
"1260","16","8.27.21","8.30.21","10.04.21","","KL","M","N","Y","10.2-10.4",NA,1
"1268","16","8.27.21","8.29.21","9.27.21","","KL","M","N","Y","",NA,1
"1269","16","8.27.21","9.2.21","9.27.21","","KL","F","N","Y","",NA,1
"1272","16","8.27.21","9.2.21","9.27.21","","KL","M","N","Y","L/S",NA,1
"1273","16","8.27.21","8.31.21","9.29.21","","KL","M","N","Y","",NA,1
"1274","16","8.27.21","9.2.21","9.30.21","","KL","F","N","Y","",NA,1
"1283","16","8.27.21","8.29.21","9.25.21","","KL","M","N","Y","",NA,1
"1284","16","8.27.21","8.31.21","10.04.21","","KL","M","N","Y","10.2-10.4",NA,1
"1285","16","8.27.21","9.1.21","9.30.21","","KL","M","N","Y","",NA,1
"1287","16","8.27.21","9.1.21","9.28.21","","KL","M","N","Y","",NA,1
"1288","16","8.27.21","9.2.21","10.01.21","","KL","F","N","Y","",NA,1
"1291","16","8.27.21","8.31.21","9.29.21","","KL","F","N","Y","",NA,1
"1292","16","8.27.21","8.30.21","10.04.21","","KL","M","N","Y","",NA,1
"1293","16","8.27.21","8.29.21","9.27.21","","KL","M","N","Y","",NA,1
"1296","16","8.27.21","8.29.21","9.26.21","","KL","F","N","Y","",NA,1
"1300","16","8.27.21","8.29.21","9.24.21","","KL","M","N","Y","",NA,1
"1302","16","8.27.21","8.31.21","10.01.21","","KL","M","N","Y","",NA,1
"1305","16","8.27.21","8.29.21","9.26.21","","KL","M","N","Y","",NA,1
"1307","16","8.27.21","9.1.21","9.25.21","","KL","M","N","Y","",NA,1
"1312","16","8.27.21","9.2.21","9.28.21","","KL","M","N","Y","",NA,1
"1314","16","8.27.21","8.29.21","9.30.21","","KL","F","N","Y","",NA,1
"1315","16","8.27.21","9.1.21","10.04.21","","KL","M","N","Y","10.2-10.4",NA,1
"1318","16","8.27.21","8.29.21","9.28.21","","KL","M","N","Y","",NA,1
"1319","16","8.27.21","8.31.21","9.28.21","","KL","M","N","Y","",NA,1
"1322","16","8.27.21","9.2.21","9.29.21","","KL","M","N","Y","",NA,1
"1329","16","8.27.21","9.9.21","10.14.21","","KL","M","N","Y","",NA,1
"1335","16","8.27.21","9.2.21","9.24.21","","KL","M","N","Y","",NA,1
"1557.5","16","9.8.21","9.8.21","10.07.21","","KL","M","N","Y","",NA,1
"1558.5","16","9.8.21","9.8.21","10.13.21","","KL","M","N","Y","",NA,1
"1560","16","9.8.21","9.8.21","10.01.21","","KL","M","N","Y","",NA,1
"1560.5","16","9.8.21","9.8.21","10.05.21","","KL","M","N","","",NA,1
"1563","16","9.8.21","9.8.21","10.04.21","","KL","F","N","Y","10.2-10.4",NA,1
"1564","16","9.8.21","9.8.21","10.04.21","","KL","M","N","Y","10.2-10.4",NA,1
"1565","16","9.8.21","9.8.21","10.13.21","","KL","F","N","Y","",NA,1
"1672","16","9.10.21","","10.19.21","","KL","F","N","","",NA,1
"1685","16","9.10.21","9.12.21","10.12.21","","KL","M","N","Y","",NA,1
"1686","16","9.10.21","9.12.21","10.13.21","","KL","F","N","Y","",NA,1
"1687","16","9.10.21","9.12.21","10.13.21","","KL","F","N","Y","",NA,1
"1688","16","9.10.21","9.12.21","10.07.21","","KL","M","N","Y","",NA,1
"1689","16","9.10.21","9.12.21","10.13.21","","KL","M","N","Y","",NA,1
